date,jd_ut,Sun,Moon,Jupiter,Saturn,Jupiter_Saturn_sep
1425-02-15,2241584.5,335.1645701422249,293.65476652242984,227.31277133299585,227.30391692861275,0.0088544043831007
1425-02-16,2241585.5,336.16635175277054,305.7215960083469,227.33542167811197,227.30447550624442,0.030946171867554995
1425-02-17,2241586.5,337.1676384492806,317.998803458557,227.3549347311057,227.30331760351342,0.05161712759226589
1425-02-18,2241587.5,338.1684111476233,330.5135138271357,227.37129952080127,227.300443959363,0.07085556143826466
1425-02-19,2241588.5,339.1686511140436,343.2737681913412,227.38450894505067,227.2958582876508,0.08865065739988154
1425-02-20,2241589.5,340.1683408841289,356.27089288716,227.3945603229552,227.2895677431622,0.10499257979299159
1425-02-21,2241590.5,341.16746488428504,9.484300332401066,227.40145538617233,227.2815828569737,0.11987252919863067
1425-02-22,2241591.5,342.1660094551227,22.888027371212004,227.40519955477748,227.27191680545658,0.13328274932089812
1425-02-23,2241592.5,343.16396237135973,36.45756323633201,227.4058005997665,227.2605840691152,0.1452165306513109
1425-02-24,2241593.5,344.16131212628045,50.17499194506972,227.40326701536569,227.24759882788354,0.15566818748214928
1425-02-25,2241594.5,345.1580473900245,64.0306830975106,227.39760643284075,227.2329734563325,0.16463297650824416
1425-02-26,2241595.5,346.154156993717,78.02077197521135,227.38882450103463,227.2167174704386,0.17210703059603816
1425-02-27,2241596.5,347.1496306486443,92.14091643333052,227.37692448780948,227.19883727144605,0.17808721636342284
1425-02-28,2241597.5,348.14446044158984,106.37780010665891,227.3619078666376,227.1793368897706,0.18257097686699808
1425-03-01,2241598.5,349.13864288254,120.70063384108421,227.34377590262946,227.15821971816203,0.18555618446742983
1425-03-02,2241599.5,350.1321809525487,135.05561678907725,227.3225318229083,227.13549079968712,0.18704102322118388
1425-03-03,2241600.5,351.12508531846913,149.36636791724075,227.29818277861747,227.11115888012108,0.1870238984963919
1425-03-04,2241601.5,352.11737403188044,163.541810751613,227.27074077342874,227.0852373165029,0.18550345692582937
1425-03-05,2241602.5,353.10907042998724,177.49001547609183,227.2402221740267,227.0577435153264,0.18247865870031887
1425-03-06,2241603.5,354.100199811742,191.13376981721663,227.20664603935887,227.02869714325243,0.17794889610644304
1425-03-07,2241604.5,355.0907859408202,204.4230674747002,227.17003218522373,226.99811800262418,0.1719141825995507
1425-03-08,2241605.5,356.08084837228034,217.34154127385224,227.13039981186057,226.9660244696827,0.16437534217786265
1425-03-09,2241606.5,357.07040122474837,229.90659464933523,227.08776710681656,226.93243292171712,0.1553341850994343
1425-03-10,2241607.5,358.05945322000713,242.16486953189653,227.04215172182947,226.89735803957143,0.14479368225804023
1425-03-11,2241608.5,359.04800851031655,254.1852201631042,226.9935715770238,226.86081351916738,0.13275805785642092
1425-03-12,2241609.5,0.03606765406998272,266.05105347198037,226.9420456743029,226.8228128017868,0.11923287251610759
1425-03-13,2241610.5,1.02362846599212,277.85325749380644,226.88759468965767,226.78336960534924,0.10422508430843891
1425-03-14,2241611.5,2.0106866061801343,289.68411825270584,226.8302414042285,226.74249835408625,0.08774305014225092
1425-03-15,2241612.5,2.9972359519118683,301.63184523753745,226.77001114576802,226.70021454227856,0.06979660348946481
1425-03-16,2241613.5,3.9832688589948657,313.7750465463138,226.7069322586095,226.65653517215915,0.050397086450345796
1425-03-17,2241614.5,4.968776378543784,326.17692211416545,226.64103673799306,226.61147929164306,0.029557446349997463
1425-03-18,2241615.5,5.9537486784221425,338.8797032267487,226.57236092798925,226.5650686093423,0.007292318646960894
1425-03-19,2241616.5,6.938175550472698,351.90042140633375,226.5009462820678,226.51732816960435,0.016381887536567774
1425-03-20,2241617.5,7.922046952870971,5.2292707221122186,226.42683978432376,226.46828669662148,0.041446912297715244
1425-03-21,2241618.5,8.905353171325016,18.831687132829174,226.35009364492643,226.417976278245,0.06788263331856115
1425-03-22,2241619.5,9.888084375381538,32.65463788160179,226.2707640629165,226.36643114028257,0.09566707736607327
1425-03-23,2241620.5,10.870229745712013,46.63628393168041,226.18890914845875,226.31368565258663,0.12477650412787966
1425-03-24,2241621.5,11.85177668594577,60.716575548767096,226.10458670681984,226.25977223938648,0.1551855325666338
1425-03-25,2241622.5,12.832710871980938,74.84556090160068,226.0178525955294,226.20471993108907,0.1868673355596684
1425-03-26,2241623.5,13.81301746288664,88.98698623594736,225.9287603534055,226.1485541894408,0.21979383603530778
1425-03-27,2241624.5,14.792683354533313,103.11669175716095,225.83736204605722,226.09129800441303,0.25393595835581095
1425-03-28,2241625.5,15.771699850259216,117.21713231322491,225.74370998280764,226.0329737790771,0.2892637962694664
1425-03-29,2241626.5,16.75006488493726,131.27028767450506,225.64785863562344,225.97360541992387,0.3257467843004349
1425-03-30,2241627.5,17.727784357523422,145.25138772008435,225.54986614542503,225.91321990949302,0.3633537640679947
1425-03-31,2241628.5,18.704872196375405,159.12559975488108,225.44979501917032,225.85184804664277,0.40205302747244787
1425-04-01,2241629.5,19.68134924759864,172.84903519817092,225.34771188772334,225.78952416220315,0.4418122744798154
1425-04-02,2241630.5,20.65724110591928,186.37400768663386,225.2436864307194,225.72628500370473,0.4825985729853244
1425-04-03,2241631.5,21.632575385530625,199.65690783137063,225.13778983657772,225.66216807831546,0.5243782417377361
1425-04-04,2241632.5,22.607378950885984,212.6662633993112,225.03009330469854,225.59721005968356,0.5671167549850225
1425-04-05,2241633.5,23.58167571842378,225.38892566921567,224.92066716440596,225.5314457526723,0.6107785882663563
1425-04-06,2241634.5,24.55548549540211,237.8333577746315,224.80958070435068,225.4649078062849,0.6553271019342333
1425-04-07,2241635.5,25.528823760867873,250.02994358399621,224.69690271995515,225.39762715472884,0.7007244347736901
1425-04-08,2241636.5,26.501702213721543,262.02882497443744,224.5827022537005,225.3296337292292,0.7469314755286973
1425-04-09,2241637.5,27.474129518686656,273.89613600905244,224.46704937889945,225.2609572114185,0.7939078325190678
1425-04-10,2241638.5,28.446112080815574,285.7095995028605,224.35001574907696,225.19162761863325,0.8416118695562886
1425-04-11,2241639.5,29.417654635021712,297.5540834021694,224.23167500907027,225.12167575688107,0.8900007478108023
1425-04-12,2241640.5,30.38876060008041,309.5170233123265,224.11210321432543,225.05113363805413,0.9390304237286955
1425-04-13,2241641.5,31.35943225821764,321.6831685420595,223.99137916903766,224.98003485589305,0.9886556868553953
1425-04-14,2241642.5,32.32967085185895,334.12827743662706,223.86958482356386,224.90841496085076,1.038830137286908
1425-04-15,2241643.5,33.29947667200171,346.9119412238044,223.74680575523152,224.83631195440654,1.0895061991750197
1425-04-16,2241644.5,34.268849236514846,0.07024059614650227,223.62313166224666,224.76376677648528,1.14063511423862
1425-04-17,2241645.5,35.23778728750875,13.609421708370588,223.49865658511214,224.69082354741715,1.1921669623050093
1425-04-18,2241646.5,36.20628825008996,27.50236352292229,223.37347826704286,224.6175289958529,1.2440507288100378
1425-04-19,2241647.5,37.174346978346726,41.68988812332326,223.2476963584373,224.54393077757678,1.2962344191394664
1425-04-20,2241648.5,38.14195422291547,56.088085819289724,223.12140967869803,224.4700749402286,1.3486652615305843
1425-04-21,2241649.5,39.10909583001077,70.60061912247104,222.99471353007587,224.39600352717676,1.4012899971008892
1425-04-22,2241650.5,40.07575367920374,85.13265456343494,222.86769828935692,224.32175350438266,1.4540552150257327
1425-04-23,2241651.5,41.041908600712546,99.60234360195679,222.7404498925828,224.24735761724543,1.506907724662625
1425-04-24,2241652.5,42.00754443517563,113.94714703598584,222.6130519235743,224.17284677557294,1.559794851998646
1425-04-25,2241653.5,42.972651750359525,128.1246467846223,222.4855881729232,224.09825281760138,1.6126646446781763
1425-04-26,2241654.5,43.937229990746715,142.1092788745682,222.35814447887068,224.0236104671471,1.6654659882764236
1425-04-27,2241655.5,44.901287624978565,155.88706499661902,222.23080934292577,223.94895796031264,1.7181486173868734
1425-04-28,2241656.5,45.864840873170124,169.45030379396493,222.1036733719868,223.87433644409504,1.770663072108249
1425-04-29,2241657.5,46.82791164874512,182.79374626318202,221.97682812078716,223.79978877376354,1.822960652976377
1425-04-30,2241658.5,47.79052537242888,195.91307171561732,221.8503647552208,223.725358114407,1.8749933591861918
1425-05-01,2241659.5,48.75270889596526,208.80556695897522,221.72437280391097,223.6510866167425,1.9267138128315366
1425-05-02,2241660.5,49.71448862870711,221.4722031181111,221.59893923310074,223.57701443077346,1.978075197672723
1425-05-03,2241661.5,50.67588912219207,233.92017672168586,221.4741480154416,223.50317918211084,2.0290311666692276
1425-05-04,2241662.5,51.63693230553661,246.16528652017018,221.35008024385783,223.42961602284322,2.079535778985388
1425-05-05,2241663.5,52.597637321242246,258.2337890972142,221.22681472829376,223.35635818397478,2.1295434556810164
1425-05-06,2241664.5,53.55802083230195,270.16344142035825,221.10442869826886,223.28343767323042,2.1790089749615618
1425-05-07,2241665.5,54.51809748188421,282.0035283056836,220.98299844950984,223.21088595083228,2.227887501322442
1425-05-08,2241666.5,55.47788042380805,293.81392679278474,220.86259983176694,223.1387344512825,2.2761346195155454
1425-05-09,2241667.5,56.4373817523053,305.6634310115605,220.74330874341652,223.06701511440826,2.3237063709917436
1425-05-10,2241668.5,57.39661287542383,317.62739306260187,220.62520155304998,222.99576084751837,2.370559294468393
1425-05-11,2241669.5,58.35558467529499,329.78439387589486,220.50835546002165,222.92500589509103,2.4166504350693856
1425-05-12,2241670.5,59.31430744372929,342.2115377707675,220.39284873881826,222.85478610100387,2.4619373621856084
1425-05-13,2241671.5,60.27279075856263,354.9781684725504,220.2787609557789,222.78513913944207,2.5063781836631733
1425-05-14,2241672.5,61.23104335165504,8.138121637786199,220.16617319983112,222.71610476090837,2.549931561077244
1425-05-15,2241673.5,62.189072632237306,21.721022967875744,220.05516811690364,222.64772486495048,2.5925567480468317
1425-05-16,2241674.5,63.14688348843632,35.72388417889883,219.94582907583722,222.58004270646765,2.634213630630427
1425-05-17,2241675.5,64.10447609470579,50.105318589872354,219.8382381035838,222.5131009466467,2.674862843062897
1425-05-18,2241676.5,65.06184353535956,64.78528229193502,219.7324728789381,222.44693885263243,2.714465973694331
1425-05-19,2241677.5,66.01897077394376,79.65230213346558,219.62860407348566,222.38158992538172,2.7529858518960566
1425-05-20,2241678.5,66.97583630146258,94.57761090508859,219.5266945455608,222.31708144998893,2.7903869044281464
1425-05-21,2241679.5,67.93241665757913,109.43280246753531,219.42680091315714,222.25343638726844,2.826635474111299
1425-05-22,2241680.5,68.88869221641423,124.10626802777249,219.32897677077094,222.19067681720696,2.8617000464360274
1425-05-23,2241681.5,69.84465189401807,138.51447358837703,219.23327581079639,222.12882713615497,2.895551325358582
1425-05-24,2241682.5,70.80029514905989,152.6063558128522,219.1397533779994,222.0679155382937,2.928162160294306
1425-05-25,2241683.5,71.75563111269048,166.36142456251636,219.0484661167729,222.0079735142644,2.9595073974915067
1425-05-26,2241684.5,72.71067604896838,179.7836571746353,218.95947048530692,221.9490341732016,2.989563687894673
1425-05-27,2241685.5,73.66545065441228,192.89373951924878,218.872821086383,221.89113041474005,3.0183093283570486
1425-05-28,2241686.5,74.61997789525336,205.72183311758275,218.7885695137719,221.83429362726943,3.0457241134975277
1425-05-29,2241687.5,75.57428153556756,218.30215077387084,218.70676365888204,221.7785528736228,3.071789214740761
1425-05-30,2241688.5,76.52838502648285,230.6696462676487,218.6274474307298,221.72393449775615,3.096487067026345
1425-05-31,2241689.5,77.48231075754217,242.85850306875517,218.55066078216015,221.67046204760192,3.1198012654417653
1425-06-01,2241690.5,78.43607974654475,254.90198730123555,218.47644010928593,221.61815658407897,3.141716474793043
1425-06-02,2241691.5,79.38971170386142,266.83335381171554,218.40481895665042,221.56703732641435,3.1622183697639343
1425-06-03,2241692.5,80.34322531547406,278.6875064441523,218.33582877078953,221.51712236550546,3.1812935947159247
1425-06-04,2241693.5,81.29663854087234,290.50295553829454,218.26949950270114,221.46842922464424,3.1989297219431023
1425-06-05,2241694.5,82.2499688315133,302.3235259804814,218.20586013332206,221.4209753562512,3.2151152229291426
1425-06-06,2241695.5,83.20323339594559,314.1994126425324,218.1449391814669,221.37477863672953,3.229839455262635
1425-06-07,2241696.5,84.15644947810831,326.1874065572988,218.08676526332394,221.32985787669318,3.2430926133692424
1425-06-08,2241697.5,85.1096344262614,338.35015838386937,218.03136754259805,221.2862332452884,3.2548657026903527
1425-06-09,2241698.5,86.06280553877055,350.75417447082623,217.9787758727536,221.24392638354337,3.2651505107897663
1425-06-10,2241699.5,87.01597969696827,3.4660883404241614,217.9290208056038,221.20296038819825,3.273939582594437
1425-06-11,2241700.5,87.96917293106623,16.5468178691599,217.88213352805877,221.16335973488194,3.2812262068231632
1425-06-12,2241701.5,88.9223996286509,30.043505331654597,217.83814565904734,221.1251500425315,3.2870043834841454
1425-06-13,2241702.5,89.87567088139018,43.97964083093806,217.7970882923258,221.08835713171646,3.2912688393906535
1425-06-14,2241703.5,90.82899178979714,58.34466445127286,217.75898991094564,221.05300498736992,3.294015076424273
1425-06-15,2241704.5,91.7823584754429,73.08567567992013,217.72387361709454,221.01911312705445,3.295239509959913
1425-06-16,2241705.5,92.73575673172535,88.10500206979835,217.6917549828505,220.9866946841202,3.2949397012696977
1425-06-17,2241706.5,93.68916392027809,103.26700972580191,217.66264204008883,220.95575665888086,3.293114618792032
1425-06-18,2241707.5,94.64255420995327,118.41484694993504,217.63653780831226,220.92630269168336,3.289764883371106
1425-06-19,2241708.5,95.59590529814871,133.39364702296928,217.61344416367382,220.89833705416495,3.284892890491136
1425-06-20,2241709.5,96.5492037616553,148.07348980830562,217.59336497633365,220.87186775218268,3.2785027758490344
1425-06-21,2241710.5,97.50244700224987,162.36535641055846,217.57630704823825,220.8469072903603,3.2706002421220433
1425-06-22,2241711.5,98.4556418565314,176.226538669456,217.56227882336412,220.82347114212757,3.261192318763449
1425-06-23,2241712.5,99.40880150464709,189.65636710782766,217.55128811716668,220.8015752268651,3.2502871096984336
1425-06-24,2241713.5,100.36194250002158,202.6860965844484,217.54334028810845,220.78123385509943,3.2378935669909765
1425-06-25,2241714.5,101.31508285731796,215.3672188699781,217.5384374071614,220.76245873944129,3.224021332279875
1425-06-26,2241715.5,102.26824113138821,227.76110779624477,217.53657819988015,220.74525879127322,3.208680591393062
1425-06-27,2241716.5,103.22143585303822,239.93120605969756,217.53775830128495,220.72964028570868,3.1918819844237305
1425-06-28,2241717.5,104.17468524068454,251.93784443617,217.5419705745081,220.7156070927648,3.1736365182567
1425-06-29,2241718.5,105.12800711821976,263.83533461926316,217.5492056223705,220.7031611318489,3.1539555094784077
1425-06-30,2241719.5,106.0814191938567,275.670923203979,217.55945246923605,220.69230301035344,3.132850541117392
1425-07-01,2241720.5,107.0349394467533,287.48527252692037,217.57269929791548,220.68303271958007,3.110333421664592
1425-07-02,2241721.5,107.9885863875869,299.3141557904052,217.5889340408162,220.67535018990822,3.0864161490920026
1425-07-03,2241722.5,108.9423792131354,311.1909449488434,217.60814484634955,220.66925570850142,3.061110862151878
1425-07-04,2241723.5,109.89633787280611,323.1493471088011,217.63032057332114,220.6647503766099,3.0344298032887593
1425-07-05,2241724.5,110.85048316147119,335.2258841859517,217.65545132057224,220.66183660076663,3.0063852801943938
1425-07-06,2241725.5,111.8048366507032,347.461765609029,217.68352879719836,220.66051844420957,2.9769896470112087
1425-07-07,2241726.5,112.75942032059756,359.90381791771716,217.71454634111467,220.6608016298492,2.946255288734534
1425-07-08,2241727.5,113.7142559240351,12.603919075501825,217.74849862316148,220.66269323541218,2.9141946122506965
1425-07-09,2241728.5,114.66936417496129,25.616211652341587,217.7853812025745,220.66620124001244,2.8808200374379282
1425-07-10,2241729.5,115.62476366455824,38.991522366781865,217.82518989998968,220.67133390118013,2.846144001190453
1425-07-11,2241730.5,116.58046903290492,52.768833399907535,217.86791968357252,220.67809864627824,2.81017896270572
1425-07-12,2241731.5,117.53648829136161,66.96420821631126,217.9135627736768,220.686500231893,2.772937458216205
1425-07-13,2241732.5,118.49282005846307,81.55857417572301,217.96210645187372,220.69653867693057,2.7344322250568496
1425-07-14,2241733.5,119.44945225832421,96.48754901534251,218.013531780559,220.70820816122742,2.694676380668426
1425-07-15,2241734.5,120.40636393029956,111.63829258689684,218.06781440853035,220.72149805742208,2.653683648891729
1425-07-16,2241735.5,121.36353018054245,126.85808388024897,218.12492757215446,220.73639611067162,2.6114685385171583
1425-07-17,2241736.5,122.32092847800183,141.97545975844457,218.18484589533443,220.75289234261723,2.5680464472827964
1425-07-18,2241737.5,123.27854364310626,156.8286925509251,218.24754795892844,220.77098158290173,2.5234336239732897
1425-07-19,2241738.5,124.23636966643063,171.29215227242972,218.3130163685166,220.79066338647914,2.477647017962539
