body_a,body_b,date,jd_ut,separation_deg,ecliptic_longitude_deg,solar_elongation_deg,event_class
Mercury,Venus,1409-08-21 20:21 UT (Julian),2235928.3479166497,0.0003657039343067936,178.93347992067623,22.190716943397035,close_conjunction
Mercury,Saturn,1410-04-02 09:50 UT (Julian),2236151.909722208,0.00020539677998954176,29.451545410781293,8.749437868196424,close_conjunction
Mars,Jupiter,1410-04-21 04:06 UT (Julian),2236170.670833319,9.067106589100149e-05,123.57555859288297,84.65688232618851,close_conjunction
Venus,Saturn,1410-05-01 04:27 UT (Julian),2236180.6854166524,0.00026527052116875893,33.13776262500597,15.437517701701324,close_conjunction
Mercury,Venus,1410-05-22 12:44 UT (Julian),2236202.0305555398,0.00043163593929307353,59.26662022071803,9.771478242859331,close_conjunction
Mercury,Venus,1410-07-11 18:53 UT (Julian),2236252.28680554,0.00012920026520646388,121.01123980578286,4.032031048657075,close_conjunction
Mercury,Jupiter,1410-07-21 02:17 UT (Julian),2236261.595138872,0.0003835270663046231,139.02914951023996,13.144835670691123,close_conjunction
Venus,Jupiter,1410-07-27 12:09 UT (Julian),2236268.0062499847,0.0002526719810589384,140.41208206555532,8.377572095078534,close_conjunction
Mercury,Venus,1410-09-04 14:28 UT (Julian),2236307.102777761,0.00043584273186070277,188.76289379861865,18.847387833697297,close_conjunction
Venus,Mars,1410-10-01 22:29 UT (Julian),2236334.436805541,6.775227399202777e-05,222.53026578371876,25.652754569875754,close_conjunction
Mercury,Mars,1410-11-23 08:34 UT (Julian),2236386.8569444274,0.00014739084701886895,260.9745577826908,11.30773947144911,close_conjunction
Mercury,Mars,1410-12-28 23:06 UT (Julian),2236422.462499985,0.000692303840992281,288.40091772776356,2.4459587173161026,close_conjunction
Mercury,Mars,1411-02-25 16:43 UT (Julian),2236481.1965277633,0.00010487194759889462,334.6369433502182,10.617240746000391,close_conjunction
Venus,Saturn,1411-03-12 08:35 UT (Julian),2236495.8576388718,6.977041056188682e-05,39.0008239670894,39.20439104662535,close_conjunction
Venus,Saturn,1411-04-02 06:09 UT (Julian),2236516.7562499847,4.2833204361159005e-06,41.46782361539564,21.14977708860414,close_conjunction
Mercury,Venus,1411-04-03 06:01 UT (Julian),2236517.750694429,6.283776070858949e-05,41.163437962376285,19.87515745604034,close_conjunction
Mercury,Saturn,1411-04-03 17:18 UT (Julian),2236518.2208333183,0.00016392044466329025,41.65012043166175,19.903361768600035,close_conjunction
Mercury,Saturn,1411-04-23 15:40 UT (Julian),2236538.152777764,9.685979645723819e-05,44.19917481847401,3.1169304966827553,close_conjunction
Venus,Mars,1411-05-03 21:46 UT (Julian),2236548.4069444304,0.0001467496821021541,26.30464400408079,24.65696659211926,close_conjunction
Mercury,Saturn,1411-05-25 11:56 UT (Julian),2236569.997222207,0.00010846230233596543,48.27093599120498,23.37159297582795,close_conjunction
Mars,Saturn,1411-06-04 16:42 UT (Julian),2236580.195833319,0.0001940625381848804,49.496634313694514,31.87813736331009,close_conjunction
Venus,Saturn,1411-06-20 22:12 UT (Julian),2236596.424999986,5.0010469919925526e-05,51.29765790748271,45.54450228378565,close_conjunction
Venus,Mars,1411-07-20 10:23 UT (Julian),2236625.9326388747,3.2268908455534984e-05,81.04890055589783,43.97068441966445,close_conjunction
Mercury,Jupiter,1411-08-03 04:33 UT (Julian),2236639.689583319,0.00016743891427495328,165.57310193367854,27.341718214803024,close_conjunction
Mercury,Jupiter,1411-08-23 03:55 UT (Julian),2236659.6631944305,0.00022519133946730108,169.74741060538156,12.19724455586055,close_conjunction
Mercury,Jupiter,1411-09-25 02:31 UT (Julian),2236692.604861094,0.0001453038840395493,176.8508812862444,13.0125025460558,close_conjunction
Venus,Jupiter,1411-10-13 04:27 UT (Julian),2236710.6854166524,0.00010181236081052703,180.6397066505787,27.216645690801755,close_conjunction
Mercury,Venus,1411-12-19 05:32 UT (Julian),2236777.7305555404,0.0004996815891900042,264.5459704138817,11.245695801371028,close_conjunction
Mercury,Venus,1412-02-26 07:46 UT (Julian),2236846.8236110946,0.00014170081198017215,351.11219188494783,5.474902156244923,close_conjunction
Mercury,Venus,1412-03-27 06:04 UT (Julian),2236876.7527777622,0.00021766585481941547,28.216773201433224,13.027715661273334,close_conjunction
Venus,Saturn,1412-04-18 18:50 UT (Julian),2236899.284722206,2.5158355811072397e-05,55.90695365940758,18.79454598755666,close_conjunction
Mercury,Saturn,1412-05-26 08:57 UT (Julian),2236936.8729166496,0.0002784083114875102,60.77150285953288,12.431385132978505,close_conjunction
Mars,Jupiter,1412-07-19 13:42 UT (Julian),2236991.070833317,0.00013767178651846734,187.57448001505395,62.651905896773826,close_conjunction
Venus,Jupiter,1412-08-11 12:09 UT (Julian),2237014.0062499847,0.00024222863063982913,191.38253926707807,44.39598153804198,close_conjunction
Venus,Mars,1412-09-08 23:09 UT (Julian),2237042.4645833187,1.570687376784008e-05,221.22412114628384,46.52649591677513,close_conjunction
Mercury,Jupiter,1412-10-01 03:47 UT (Julian),2237064.657638875,0.000487523330662043,201.7548186331207,5.138304868794137,close_conjunction
Venus,Mars,1412-10-21 21:38 UT (Julian),2237085.401388875,6.155807801633273e-05,252.18952220374945,34.83354045415521,close_conjunction
Mercury,Venus,1412-11-04 14:47 UT (Julian),2237099.115972205,0.0003337861780323692,252.40742559300006,21.22262119907046,close_conjunction
Mercury,Mars,1413-02-11 17:45 UT (Julian),2237198.239583318,0.0003753660564598249,340.11810264767416,8.298243361920242,close_conjunction
Mercury,Mars,1413-03-16 23:07 UT (Julian),2237231.4631944294,0.00032899867827040907,5.857650795794365,1.0037929214255996,close_conjunction
Mercury,Mars,1413-05-11 11:24 UT (Julian),2237286.974999985,6.473508511817272e-05,47.02489026540796,11.705178726419831,close_conjunction
Mercury,Saturn,1413-05-23 10:59 UT (Julian),2237298.957638874,0.00018543707767548767,72.70065015483476,2.506982465968264,close_conjunction
Venus,Mars,1413-06-17 02:29 UT (Julian),2237323.6034722053,1.575553631028015e-05,72.70577724359987,20.994291860931412,close_conjunction
Venus,Saturn,1413-06-20 00:55 UT (Julian),2237326.5381944287,0.0001132688776692703,76.26776479759529,20.228227606392238,close_conjunction
