year,month,decimal_year,body,longitude_deg
1418,4,1418.2916666666667,Jupiter,16.810121485106908
1418,4,1418.2916666666667,Saturn,133.11661154545902
1418,5,1418.375,Mercury,38.05175500048206
1418,5,1418.375,Venus,51.33422710720851
1418,5,1418.375,Mars,288.87740959574205
1418,5,1418.375,Jupiter,23.569063281088777
1418,5,1418.375,Saturn,134.37552929285297
1418,6,1418.4583333333333,Mercury,91.88297819704574
1418,6,1418.4583333333333,Venus,89.34716237588435
1418,6,1418.4583333333333,Mars,288.14715300645736
1418,6,1418.4583333333333,Jupiter,29.504090671348212
1418,6,1418.4583333333333,Saturn,137.0130339952162
1418,7,1418.5416666666667,Mercury,145.90028119777395
1418,7,1418.5416666666667,Venus,126.27513151538489
1418,7,1418.5416666666667,Mars,280.50042196023037
1418,7,1418.5416666666667,Jupiter,33.54981898555311
1418,7,1418.5416666666667,Saturn,140.4157864718866
1418,8,1418.625,Mercury,162.64069690589344
1418,8,1418.625,Venus,164.56974948007746
1418,8,1418.625,Mars,280.44043662199925
1418,8,1418.625,Jupiter,35.178730306256796
1418,8,1418.625,Saturn,144.31465929440287
1418,9,1418.7083333333333,Mercury,166.21818955183784
1418,9,1418.7083333333333,Venus,202.88658714924517
1418,9,1418.7083333333333,Mars,291.48252295902034
1418,9,1418.7083333333333,Jupiter,33.71114385230655
1418,9,1418.7083333333333,Saturn,148.08645519057006
1418,10,1418.7916666666667,Mercury,216.960247017746
1418,10,1418.7916666666667,Venus,239.87045053961904
1418,10,1418.7916666666667,Mars,308.0749509062615
1418,10,1418.7916666666667,Jupiter,30.055363267275826
1418,10,1418.7916666666667,Saturn,151.09849142420222
1418,11,1418.875,Mercury,262.2932431605741
1418,11,1418.875,Venus,277.84694079933655
1418,11,1418.875,Mars,328.012970712164
1418,11,1418.875,Jupiter,26.372858279052718
1418,11,1418.875,Saturn,153.00845675282343
1418,12,1418.9583333333333,Mercury,255.6388510909984
1418,12,1418.9583333333333,Venus,313.99082451629494
1418,12,1418.9583333333333,Mars,348.39753076317123
1418,12,1418.9583333333333,Jupiter,25.198346961421922
1418,12,1418.9583333333333,Saturn,153.28651172137108
1419,1,1419.0416666666667,Mercury,285.09230218767794
1419,1,1419.0416666666667,Venus,349.6543846014101
1419,1,1419.0416666666667,Mars,9.731804056447656
1419,1,1419.0416666666667,Jupiter,27.149436818824167
1419,1,1419.0416666666667,Saturn,151.9279519435476
1419,2,1419.125,Mercury,337.3516090009572
1419,2,1419.125,Venus,20.939033338658458
1419,2,1419.125,Mars,30.90687580621517
1419,2,1419.125,Jupiter,31.7056644229597
1419,2,1419.125,Saturn,149.56677063330338
1419,3,1419.2083333333333,Mercury,20.056852216393533
1419,3,1419.2083333333333,Venus,38.93450115276109
1419,3,1419.2083333333333,Mars,49.73221495166347
1419,3,1419.2083333333333,Jupiter,37.27983962120022
1419,3,1419.2083333333333,Saturn,147.5765386080703
1419,4,1419.2916666666667,Mercury,10.331399970799064
1419,4,1419.2916666666667,Venus,31.19061152014398
1419,4,1419.2916666666667,Mars,70.1951152298295
1419,4,1419.2916666666667,Jupiter,44.306375305734804
1419,4,1419.2916666666667,Saturn,146.5208465135422
1419,5,1419.375,Mercury,45.028448086525735
1419,5,1419.375,Venus,25.58021209416737
1419,5,1419.375,Mars,89.65799253678101
1419,5,1419.375,Jupiter,51.35717118813845
1419,5,1419.375,Saturn,147.0531518110874
1419,6,1419.4583333333333,Mercury,108.59615553190356
1419,6,1419.4583333333333,Venus,46.34152788615723
1419,6,1419.4583333333333,Mars,109.51340354901136
1419,6,1419.4583333333333,Jupiter,58.337312312994904
1419,6,1419.4583333333333,Saturn,149.0886467500157
1419,7,1419.5416666666667,Mercury,145.76363555126247
1419,7,1419.5416666666667,Venus,76.09379867287922
1419,7,1419.5416666666667,Mars,128.59835756218044
1419,7,1419.5416666666667,Jupiter,64.23670944598265
1419,7,1419.5416666666667,Saturn,152.11506806082508
1419,8,1419.625,Mercury,134.62861116000644
1419,8,1419.625,Venus,110.68302247748177
1419,8,1419.625,Mars,148.31471041666018
1419,8,1419.625,Jupiter,68.75022737296602
1419,8,1419.625,Saturn,155.85396245988753
1419,9,1419.7083333333333,Mercury,179.56743066953354
1419,9,1419.7083333333333,Venus,147.38049816668968
1419,9,1419.7083333333333,Mars,168.1470678960573
1419,9,1419.7083333333333,Jupiter,70.82211410362241
1419,9,1419.7083333333333,Saturn,159.7046547694308
